step,train_loss,avg_return,early_collision_rate,episode_count,converged,convergence_step,convergence_return
2000,0.782957136631012,27.509602,0.75,48,0,,
4000,0.0007749858777970076,-2.258763,0.7543859649122807,57,0,,
6000,0.004115056712180376,60.221462,0.746268656716418,67,0,,
8000,0.006104814819991589,20.458874,0.7407407407407407,81,0,,
10000,0.005208003334701061,12.238107,0.7319587628865979,97,0,,
12000,1.6991474628448486,31.005304,0.7192982456140351,114,0,,
14000,1.4733152389526367,39.86968,0.7265625,128,0,,
16000,0.8607199192047119,38.264446,0.7172413793103448,145,0,,
18000,0.007618304807692766,36.332756,0.7409638554216867,166,0,,
20000,0.012975805439054966,32.841904,0.7458563535911602,181,0,,
22000,0.7972536683082581,38.541744,0.7319587628865979,194,1,20000,35.662817764282224
24000,0.018652373924851418,14.4430485,0.7345971563981043,211,1,20000,35.662817764282224
26000,0.02045299857854843,33.071693,0.7368421052631579,228,1,20000,35.662817764282224
28000,0.03882340341806412,38.733604,0.731404958677686,242,1,20000,35.662817764282224
30000,1.894136905670166,-2.0076623,0.7354085603112841,257,1,20000,35.662817764282224
32000,0.039341699331998825,20.278004,0.7211895910780669,269,1,20000,35.662817764282224
34000,0.9371758103370667,-5.385709,0.723404255319149,282,1,20000,35.662817764282224
36000,0.9611989259719849,11.73213,0.7152542372881356,295,1,20000,35.662817764282224
38000,0.010122966952621937,25.096613,0.7161290322580646,310,1,20000,35.662817764282224
40000,0.09767960757017136,24.220375,0.718266253869969,323,1,20000,35.662817764282224
42000,0.8830956220626831,9.726438,0.7138643067846607,339,1,20000,35.662817764282224
44000,1.3976480960845947,41.418358,0.7162921348314607,356,1,20000,35.662817764282224
46000,0.03808462619781494,14.287191,0.7216216216216216,370,1,20000,35.662817764282224
48000,0.918659508228302,21.74799,0.7260981912144703,387,1,20000,35.662817764282224
50000,0.03752629831433296,40.663452,0.7252475247524752,404,1,20000,35.662817764282224
52000,0.1045575812458992,13.561838,0.7231503579952268,419,1,20000,35.662817764282224
54000,1.4899760484695435,8.141501,0.7276887871853547,437,1,20000,35.662817764282224
56000,0.005695078521966934,25.081732,0.7256637168141593,452,1,20000,35.662817764282224
58000,0.04963711276650429,21.099735,0.7286324786324786,468,1,20000,35.662817764282224
60000,0.02302400954067707,6.3195167,0.7330595482546202,487,1,20000,35.662817764282224
62000,1.0198663473129272,10.363231,0.736,504,1,20000,35.662817764282224
64000,0.016787491738796234,44.784164,0.736,519,1,20000,35.662817764282224
66000,2.4467432498931885,45.331966,0.736,533,1,20000,35.662817764282224
68000,0.03667593002319336,50.951897,0.736,544,1,20000,35.662817764282224
70000,0.019864441826939583,31.405737,0.736,560,1,20000,35.662817764282224
72000,1.002190351486206,50.576214,0.736,574,1,20000,35.662817764282224
74000,0.005480123683810234,40.843678,0.736,590,1,20000,35.662817764282224
76000,0.05118224024772644,32.268024,0.736,603,1,20000,35.662817764282224
78000,0.1346428245306015,34.765976,0.736,618,1,20000,35.662817764282224
80000,1.0890482664108276,59.2684,0.736,633,1,20000,35.662817764282224
82000,0.03545538708567619,61.276043,0.736,649,1,20000,35.662817764282224
84000,1.476794958114624,19.292187,0.736,666,1,20000,35.662817764282224
86000,0.016022147610783577,21.960714,0.736,678,1,20000,35.662817764282224
88000,0.725847601890564,42.953125,0.736,693,1,20000,35.662817764282224
90000,1.0808584690093994,28.051449,0.736,710,1,20000,35.662817764282224
92000,0.17545799911022186,53.458122,0.736,724,1,20000,35.662817764282224
94000,0.11289829760789871,43.092136,0.736,737,1,20000,35.662817764282224
96000,0.15356743335723877,38.82241,0.736,748,1,20000,35.662817764282224
98000,0.9945051670074463,54.04909,0.736,766,1,20000,35.662817764282224
100000,0.1071452647447586,58.376575,0.736,781,1,20000,35.662817764282224
102000,0.04113594442605972,24.705305,0.736,796,1,20000,35.662817764282224
104000,0.06850022077560425,3.686265,0.736,809,1,20000,35.662817764282224
106000,0.16832801699638367,60.23366,0.736,824,1,20000,35.662817764282224
108000,0.11767934262752533,33.85255,0.736,840,1,20000,35.662817764282224
110000,1.5966761112213135,39.436897,0.736,853,1,20000,35.662817764282224
112000,0.04431522265076637,65.49124,0.736,867,1,20000,35.662817764282224
114000,0.04793330654501915,23.661549,0.736,884,1,20000,35.662817764282224
116000,0.04273267835378647,50.11762,0.736,896,1,20000,35.662817764282224
118000,1.0330986976623535,44.394093,0.736,909,1,20000,35.662817764282224
120000,1.0403809547424316,35.6916,0.736,924,1,20000,35.662817764282224
122000,1.9756879806518555,51.296707,0.736,935,1,20000,35.662817764282224
124000,0.01452548149973154,34.520638,0.736,948,1,20000,35.662817764282224
126000,0.19156011939048767,7.146567,0.736,964,1,20000,35.662817764282224
128000,0.044681742787361145,14.496118,0.736,981,1,20000,35.662817764282224
130000,0.14699415862560272,24.924242,0.736,995,1,20000,35.662817764282224
132000,2.571157455444336,39.26854,0.736,1006,1,20000,35.662817764282224
134000,1.4181172847747803,29.512718,0.736,1021,1,20000,35.662817764282224
136000,0.09361453354358673,40.027348,0.736,1032,1,20000,35.662817764282224
138000,0.01949732005596161,13.272563,0.736,1045,1,20000,35.662817764282224
140000,1.5151129961013794,37.75057,0.736,1060,1,20000,35.662817764282224
142000,2.3401966094970703,55.031574,0.736,1076,1,20000,35.662817764282224
144000,0.02989642322063446,64.674286,0.736,1089,1,20000,35.662817764282224
146000,1.046993613243103,39.843624,0.736,1100,1,20000,35.662817764282224
148000,0.05283728986978531,30.508991,0.736,1113,1,20000,35.662817764282224
150000,0.08162755519151688,38.07055,0.736,1125,1,20000,35.662817764282224
152000,0.13732431828975677,55.623344,0.736,1140,1,20000,35.662817764282224
154000,0.08744068443775177,71.08035,0.736,1152,1,20000,35.662817764282224
156000,1.4679347276687622,28.548307,0.736,1164,1,20000,35.662817764282224
158000,0.04003407061100006,57.353825,0.736,1175,1,20000,35.662817764282224
160000,1.3872523307800293,56.871685,0.736,1194,1,20000,35.662817764282224
162000,0.8962998390197754,32.917763,0.736,1206,1,20000,35.662817764282224
164000,1.051424264907837,68.09194,0.736,1219,1,20000,35.662817764282224
166000,1.8545851707458496,23.671705,0.736,1233,1,20000,35.662817764282224
168000,0.09484053403139114,40.387547,0.736,1247,1,20000,35.662817764282224
170000,0.04198960214853287,56.23115,0.736,1262,1,20000,35.662817764282224
172000,0.9575179815292358,68.48938,0.736,1274,1,20000,35.662817764282224
174000,0.0262825395911932,42.537266,0.736,1289,1,20000,35.662817764282224
176000,0.022389784455299377,38.57075,0.736,1303,1,20000,35.662817764282224
178000,0.9563407897949219,44.113117,0.736,1318,1,20000,35.662817764282224
180000,0.026235051453113556,40.350346,0.736,1332,1,20000,35.662817764282224
182000,0.0803426131606102,68.907394,0.736,1344,1,20000,35.662817764282224
184000,0.9989763498306274,49.232082,0.736,1358,1,20000,35.662817764282224
186000,0.054375141859054565,36.568348,0.736,1370,1,20000,35.662817764282224
188000,1.1549144983291626,29.593967,0.736,1382,1,20000,35.662817764282224
190000,0.06972445547580719,71.66386,0.736,1393,1,20000,35.662817764282224
192000,0.024355079978704453,21.673615,0.736,1406,1,20000,35.662817764282224
194000,0.11001941561698914,64.086296,0.736,1419,1,20000,35.662817764282224
196000,0.1901843249797821,61.68912,0.736,1433,1,20000,35.662817764282224
198000,0.10770965367555618,39.672115,0.736,1451,1,20000,35.662817764282224
200000,2.679697036743164,56.077236,0.736,1467,1,20000,35.662817764282224
