step,train_loss,avg_return,early_collision_rate,episode_count,converged,convergence_step,convergence_return
2000,1.5016618,26.366049,1.0,85,0,,
4000,0.0022797845,36.66282,1.0,108,0,,
6000,2.2138677,46.056076,1.0,135,0,,
8000,0.0039744796,45.868343,0.9936708860759493,158,0,,
10000,0.020854894,69.770775,0.9888268156424581,179,0,,
12000,0.051618837,15.003855,0.9899497487437185,199,1,10000,44.94481239318848
14000,0.030704739,50.421837,0.9910714285714286,224,1,10000,44.94481239318848
16000,0.95859766,20.312845,0.9878542510121457,247,1,10000,44.94481239318848
18000,1.7155461,3.0583863,0.9851851851851852,270,1,10000,44.94481239318848
20000,0.043259934,-2.237441,0.9865319865319865,297,1,10000,44.94481239318848
22000,0.6432259,10.405821,0.9873417721518988,316,1,10000,44.94481239318848
24000,0.6411847,-11.458444,0.985207100591716,338,1,10000,44.94481239318848
26000,0.05038766,-9.616586,0.9861878453038674,362,1,10000,44.94481239318848
28000,0.09538975,1.2397709,0.9871794871794872,390,1,10000,44.94481239318848
30000,0.58849066,3.2515407,0.9851851851851852,405,1,10000,44.94481239318848
32000,0.09639704,-23.694338,0.9837587006960556,431,1,10000,44.94481239318848
34000,0.48828897,3.688447,0.9821428571428571,448,1,10000,44.94481239318848
36000,0.06258583,28.730194,0.9786324786324786,468,1,10000,44.94481239318848
38000,0.8749664,43.872494,0.9795918367346939,490,1,10000,44.94481239318848
40000,0.08100738,28.502287,0.976,501,1,10000,44.94481239318848
42000,0.07663782,21.963263,0.976,512,1,10000,44.94481239318848
44000,1.0074383,-5.8750916,0.976,534,1,10000,44.94481239318848
46000,0.27730155,-22.681479,0.976,553,1,10000,44.94481239318848
48000,0.13470605,19.116488,0.976,571,1,10000,44.94481239318848
50000,1.3549114,9.727237,0.976,594,1,10000,44.94481239318848
52000,0.34879705,-14.960851,0.976,610,1,10000,44.94481239318848
54000,0.8574604,-9.05498,0.976,634,1,10000,44.94481239318848
56000,0.11024243,-16.693018,0.976,648,1,10000,44.94481239318848
58000,0.37352762,-3.097817,0.976,666,1,10000,44.94481239318848
60000,0.09155834,-13.570514,0.976,683,1,10000,44.94481239318848
62000,0.25212908,19.110416,0.976,707,1,10000,44.94481239318848
64000,0.25933346,44.51888,0.976,723,1,10000,44.94481239318848
66000,0.08169527,44.562782,0.976,739,1,10000,44.94481239318848
68000,0.23533912,19.389742,0.976,758,1,10000,44.94481239318848
70000,1.2356294,-2.9052644,0.976,777,1,10000,44.94481239318848
72000,0.17049019,-4.1362805,0.976,792,1,10000,44.94481239318848
74000,0.10423335,-15.611142,0.976,814,1,10000,44.94481239318848
76000,0.4700338,33.482204,0.976,828,1,10000,44.94481239318848
78000,1.1250699,27.639803,0.976,851,1,10000,44.94481239318848
80000,0.17655033,-7.213645,0.976,869,1,10000,44.94481239318848
82000,0.1370003,20.711414,0.976,887,1,10000,44.94481239318848
84000,0.514884,8.640691,0.976,901,1,10000,44.94481239318848
86000,1.1052592,15.631729,0.976,915,1,10000,44.94481239318848
88000,0.057616666,2.6930792,0.976,932,1,10000,44.94481239318848
90000,1.3457537,41.0211,0.976,949,1,10000,44.94481239318848
92000,1.5050676,4.700693,0.976,966,1,10000,44.94481239318848
94000,0.1239685,38.764336,0.976,985,1,10000,44.94481239318848
96000,2.181888,39.862747,0.976,1002,1,10000,44.94481239318848
98000,0.30390286,19.4642,0.976,1012,1,10000,44.94481239318848
100000,0.14164622,36.76168,0.976,1025,1,10000,44.94481239318848
102000,0.08161113,-4.6784825,0.976,1044,1,10000,44.94481239318848
104000,0.33884132,25.940443,0.976,1060,1,10000,44.94481239318848
106000,1.3230957,41.846596,0.976,1075,1,10000,44.94481239318848
108000,0.1549829,27.99483,0.976,1092,1,10000,44.94481239318848
110000,0.21487898,16.179283,0.976,1109,1,10000,44.94481239318848
112000,0.031831678,20.610434,0.976,1130,1,10000,44.94481239318848
114000,1.0958905,14.575719,0.976,1145,1,10000,44.94481239318848
116000,0.09955497,10.7195835,0.976,1159,1,10000,44.94481239318848
118000,0.56928194,37.50765,0.976,1176,1,10000,44.94481239318848
120000,0.25202432,7.609952,0.976,1190,1,10000,44.94481239318848
122000,0.1391446,2.739599,0.976,1204,1,10000,44.94481239318848
124000,0.18016353,26.275959,0.976,1223,1,10000,44.94481239318848
126000,1.4345869,45.694347,0.976,1234,1,10000,44.94481239318848
128000,0.9449841,17.921143,0.976,1251,1,10000,44.94481239318848
130000,0.3423552,51.222664,0.976,1267,1,10000,44.94481239318848
132000,0.15604445,23.128096,0.976,1288,1,10000,44.94481239318848
134000,0.31542987,30.200312,0.976,1301,1,10000,44.94481239318848
136000,3.182994,24.629581,0.976,1318,1,10000,44.94481239318848
138000,1.6315316,0.9982302,0.976,1333,1,10000,44.94481239318848
140000,1.152626,16.37295,0.976,1356,1,10000,44.94481239318848
142000,1.0355872,33.87505,0.976,1367,1,10000,44.94481239318848
144000,1.2305493,21.981985,0.976,1388,1,10000,44.94481239318848
146000,0.84857917,10.478058,0.976,1401,1,10000,44.94481239318848
148000,2.9028401,16.116129,0.976,1420,1,10000,44.94481239318848
150000,2.1223133,8.183752,0.976,1437,1,10000,44.94481239318848
152000,0.14075708,22.200628,0.976,1450,1,10000,44.94481239318848
154000,0.4918511,20.589134,0.976,1463,1,10000,44.94481239318848
156000,1.9549195,51.245365,0.976,1481,1,10000,44.94481239318848
158000,0.10724065,29.55742,0.976,1494,1,10000,44.94481239318848
160000,1.5847145,26.630556,0.976,1507,1,10000,44.94481239318848
162000,1.1926193,34.567528,0.976,1524,1,10000,44.94481239318848
164000,1.3875087,51.036644,0.976,1536,1,10000,44.94481239318848
166000,0.3471913,19.987494,0.976,1548,1,10000,44.94481239318848
168000,0.25012594,47.33573,0.976,1560,1,10000,44.94481239318848
170000,1.9499241,42.998295,0.976,1573,1,10000,44.94481239318848
172000,0.3638094,23.468061,0.976,1584,1,10000,44.94481239318848
174000,1.1643484,26.429579,0.976,1597,1,10000,44.94481239318848
176000,0.9713692,38.49045,0.976,1608,1,10000,44.94481239318848
178000,0.09857731,57.596737,0.976,1623,1,10000,44.94481239318848
180000,0.16913019,22.37391,0.976,1638,1,10000,44.94481239318848
182000,2.3599353,30.526085,0.976,1651,1,10000,44.94481239318848
184000,1.1931362,36.526993,0.976,1668,1,10000,44.94481239318848
186000,0.23107037,23.291656,0.976,1681,1,10000,44.94481239318848
188000,0.17396215,24.303608,0.976,1690,1,10000,44.94481239318848
190000,0.10983917,69.80099,0.976,1701,1,10000,44.94481239318848
192000,1.244545,51.489937,0.976,1712,1,10000,44.94481239318848
194000,0.23281729,32.881737,0.976,1724,1,10000,44.94481239318848
196000,1.064263,51.903156,0.976,1736,1,10000,44.94481239318848
198000,0.38779375,27.19544,0.976,1748,1,10000,44.94481239318848
200000,0.017495092,75.48,0.976,1761,1,10000,44.94481239318848
