episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,1,0,obstacle_collision,,,426.00000000000006,527.3708372672877,
2,0,1,success,,,627.0,640.0031249923707,0.979682716404665
3,1,0,obstacle_collision,,,656.9999999999998,651.7706651883008,
4,1,0,obstacle_collision,,,161.99999999999963,644.2864269872523,
5,1,0,obstacle_collision,,,377.99999999999966,676.3017078198162,
6,0,1,success,,,642.0000000000013,651.9892637152855,0.9846787910918018
7,1,0,obstacle_collision,,,227.99999999999955,607.4248924764279,
8,1,0,obstacle_collision,,,455.99999999999994,663.7266003408331,
9,0,1,success,,,692.9999999999998,683.8143022780381,1.013433029539395
10,1,0,obstacle_collision,,,168.0000000000001,690.1427388591435,
11,0,1,success,,,567.0000000000002,546.6186970823446,1.0372861430215317
12,1,0,obstacle_collision,,,449.99999999999966,580.3593714242926,
13,1,0,obstacle_collision,,,600.0000000000001,689.1806729733503,
14,0,1,success,,,720.0000000000002,623.0802516530274,1.1555493824268148
15,0,1,success,,,738.0000000000005,681.4726700316015,1.082948784968556
16,1,0,obstacle_collision,,,249.0,686.563908168788,
17,1,0,obstacle_collision,,,125.99999999999996,656.6924698822121,
18,0,1,success,,,813.0000000000001,750.2013063171778,1.0837091233433171
19,1,0,obstacle_collision,,,390.00000000000074,551.0716831774248,
20,0,1,success,,,633.000000000001,633.6600034718934,0.9989584264932674
21,1,0,obstacle_collision,,,257.9999999999997,707.7428911688198,
22,0,1,success,,,605.9999999999992,593.5284323433882,1.0210125867220385
23,0,1,success,,,738.0,646.0417943136497,1.142340954557044
24,0,1,success,,,606.0,606.1394229053246,0.9997699821195323
25,0,1,success,,,647.9999999999995,644.864326816114,1.0048625316264077
26,1,0,obstacle_collision,,,306.00000000000006,623.0762393158641,
27,0,1,success,,,600.0000000000013,614.955282927141,0.9756806985120061
28,1,0,obstacle_collision,,,467.9999999999997,686.2251817005844,
29,0,1,success,,,620.9999999999997,597.2101807571603,1.039834919111188
30,1,0,obstacle_collision,,,632.9999999999995,649.5690879344552,
31,0,1,success,,,702.0,679.1170738539857,1.0336951124143496
32,1,0,obstacle_collision,,,212.99999999999991,721.8379319487166,
33,1,0,obstacle_collision,,,173.99999999999997,643.291535775188,
34,1,0,obstacle_collision,,,365.99999999999994,631.2091570945403,
35,1,0,obstacle_collision,,,221.9999999999996,644.1490510743612,
36,0,1,success,,,528.0000000000001,544.1543898564083,0.9703128557675129
37,0,1,success,,,690.0000000000006,690.5548493783821,0.9991965165708692
38,1,0,obstacle_collision,,,192.00000000000009,665.5231025291308,
39,0,1,success,,,644.9999999999993,600.6071927641227,1.0739132127798394
40,0,1,success,,,656.9999999999999,554.0406122298256,1.1858336473851578
41,0,1,success,,,611.9999999999999,611.373862705955,1.001024147959603
42,1,0,obstacle_collision,,,327.0,711.6270090433611,
43,1,0,obstacle_collision,,,117.00000000000006,619.0129239361647,
44,0,1,success,,,732.0,689.4055410279207,1.0617843293057523
45,1,0,obstacle_collision,,,441.00000000000017,593.6606774917807,
46,1,0,obstacle_collision,,,387.00000000000017,557.6064920712455,
47,1,0,obstacle_collision,,,110.99999999999994,633.2645576692256,
48,0,1,success,,,564.0000000000005,558.9105474045019,1.0091060235294058
49,1,0,obstacle_collision,,,317.99999999999994,537.9758358885648,
50,0,1,success,,,758.9999999999995,728.6604147337771,1.0416374824990422
51,1,0,obstacle_collision,,,756.0000000000008,781.8874599326939,
52,1,0,obstacle_collision,,,518.9999999999978,607.7910825275409,
53,1,0,obstacle_collision,,,342.00000000000006,584.9726489332643,
54,0,1,success,,,1143.0000000000002,615.5079203389669,1.857002911303786
55,0,1,success,,,771.0000000000002,713.7534588357523,1.0802049229402353
56,1,0,obstacle_collision,,,326.99999999999994,570.2210097848026,
57,1,0,obstacle_collision,,,167.9999999999997,666.7600767892451,
58,1,0,obstacle_collision,,,191.99999999999997,636.1171275795048,
59,1,0,obstacle_collision,,,132.00000000000009,572.2525666172237,
60,0,1,success,,,699.0000000000001,649.5536929307692,1.0761235100459985
61,1,0,obstacle_collision,,,503.9999999999999,713.2867586041395,
62,1,0,obstacle_collision,,,252.00000000000054,660.4400048452546,
63,0,1,success,,,635.9999999999998,632.5013833976966,1.0055313975496925
64,1,0,obstacle_collision,,,147.00000000000026,577.0424594429772,
65,0,1,success,,,738.0000000000003,613.5144660071187,1.202905621448602
66,0,1,success,,,815.9999999999998,740.848837483059,1.1014392663046586
67,0,1,success,,,1161.0,644.4261012715112,1.8016030041446824
68,1,0,obstacle_collision,,,422.99999999999994,624.4821854945103,
69,0,1,success,,,588.0000000000001,583.7713593522724,1.0072436589770688
70,0,1,success,,,749.9999999999992,660.0492405873974,1.136278862062703
71,0,1,success,,,711.0,703.9275530905152,1.0100471232848238
72,0,1,success,,,593.9999999999993,609.8204653830503,0.9740571753801119
73,1,0,obstacle_collision,,,405.00000000000006,645.665548097465,
74,1,0,obstacle_collision,,,468.0000000000005,722.3053370978232,
75,0,1,success,,,609.0000000000002,624.846381120992,0.9746395568578586
76,0,1,success,,,828.0000000000011,707.096174505279,1.170986394572581
77,1,0,obstacle_collision,,,477.0,600.6305020559645,
78,1,0,obstacle_collision,,,381.0000000000002,618.9830369242763,
79,0,1,success,,,632.9999999999997,557.4307131832619,1.1355671387125263
80,0,1,success,,,648.0000000000001,607.4018439221271,1.0668390398944492
81,0,1,success,,,708.0,717.454528175828,0.9868221220934144
82,0,1,success,,,627.0000000000001,611.0229128273342,1.02614809827464
83,1,0,obstacle_collision,,,129.00000000000014,617.0510513725749,
84,1,0,obstacle_collision,,,393.0,605.2875349782119,
85,0,1,success,,,1289.9999999999998,595.5098655773891,2.1662109640270244
86,1,0,obstacle_collision,,,140.99999999999997,639.2824102069444,
87,0,1,success,,,984.0000000000003,665.0187967268294,1.4796574244866034
88,0,1,success,,,671.9999999999999,617.6609102088297,1.0879756010021717
89,1,0,obstacle_collision,,,324.0000000000003,587.6087133458796,
90,1,0,obstacle_collision,,,161.99999999999997,606.7124524847005,
91,0,1,success,,,984.0000000000007,690.609151401862,1.4248290773480006
92,1,0,obstacle_collision,,,353.99999999999994,637.6025407728548,
93,0,1,success,,,623.9999999999998,581.8805719389504,1.0723850049172434
94,1,0,obstacle_collision,,,90.00000000000003,557.6414618731286,
95,1,0,obstacle_collision,,,549.0,667.7851450878494,
96,1,0,obstacle_collision,,,93.00000000000001,635.4722653271344,
97,1,0,obstacle_collision,,,480.0000000000003,657.9186879850731,
98,1,0,obstacle_collision,,,303.0000000000004,572.6927623080285,
