episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,1,0,obstacle_collision,,,425.9999999999999,572.2490716462544,
2,1,0,obstacle_collision,,,273.00000000000006,591.4811915860047,
3,0,1,success,,,660.0000000000002,663.1357327123912,0.9952713561376566
4,0,1,success,,,1040.9999999999998,682.3085812152739,1.5257026346434823
5,0,1,success,,,717.0000000000005,705.60966546668,1.0161425432371127
6,0,1,success,,,600.0000000000002,536.1828046478179,1.119021338989227
7,0,1,success,,,702.0000000000002,591.4930261634536,1.1868271796090613
8,0,1,success,,,545.9999999999986,561.0062388244894,0.9732512086569051
9,1,0,obstacle_collision,,,797.9999999999997,656.5485511369285,
10,0,1,success,,,684.0000000000001,659.0295896240168,1.0378896650000635
11,0,1,success,,,692.9999999999999,684.2002630809199,1.0128613468803056
12,0,1,success,,,1332.000000000001,709.6766869497687,1.8769110279288075
13,0,1,success,,,570.0000000000005,576.0425331518499,0.9895102656416925
14,0,1,success,,,545.9999999999999,550.6142025048028,0.9916198992256058
15,1,0,obstacle_collision,,,446.99999999999966,620.4933520997627,
16,0,1,success,,,650.9999999999999,649.8222833975456,1.0018123672156898
17,0,1,success,,,588.0000000000007,590.0076270693456,0.9965972862430319
18,0,1,success,,,647.9999999999997,640.1062411818838,1.0123319510266624
19,0,1,success,,,618.0000000000001,621.6309194369276,0.994159043053688
20,0,1,success,,,539.9999999999991,544.7715117368015,0.9912412605395055
21,0,1,success,,,653.9999999999994,627.7618975375934,1.0417962647387893
22,0,1,success,,,989.9999999999995,606.8747811534106,1.6313085182390197
23,0,1,success,,,620.9999999999995,618.9903068707943,1.0032467279485602
24,0,1,success,,,1194.0,576.0034722117567,2.0729041708989016
25,0,1,success,,,741.0000000000001,696.3368437760564,1.0641401594977322
26,0,1,success,,,735.0000000000006,728.2375985899108,1.0092859822442344
27,1,0,boundary_collision,,,69.0,623.1035226990776,
28,1,0,obstacle_collision,,,360.0,586.8705138273689,
29,0,1,success,,,692.9999999999998,681.3354533561277,1.0171201228211666
30,0,1,success,,,603.0000000000005,621.4386534485926,0.9703290850250957
31,0,1,success,,,674.9999999999998,664.1633835134244,1.0163161907981884
32,0,1,success,,,659.9999999999997,664.4493961168149,0.9933036343432344
33,0,1,success,,,1206.0000000000005,622.5399585568784,1.937225046237436
34,1,0,obstacle_collision,,,660.0000000000014,591.0008460230831,
35,0,1,success,,,632.9999999999992,576.3896251668657,1.0982154646117108
36,0,1,success,,,705.0000000000001,623.2599778583573,1.1311491593323824
37,0,1,success,,,641.9999999999993,614.1148101128974,1.045407128158944
38,0,1,success,,,968.9999999999998,676.1249884451838,1.4331669684747357
39,0,1,success,,,686.9999999999991,581.0697032198461,1.182302219842418
40,0,1,success,,,2208.0000000000005,610.9214352107806,3.6142126838914965
41,0,1,success,,,491.9999999999999,509.4281107280987,0.9657888711653745
42,1,0,obstacle_collision,,,443.9999999999995,569.857877018472,
43,0,1,success,,,677.9999999999997,602.9038065894094,1.124557504181977
44,0,1,success,,,585.0000000000009,574.6659899454639,1.0179826372803402
45,0,1,success,,,870.0,746.4080653369174,1.1655822604318926
46,0,1,success,,,632.9999999999993,562.0818445742577,1.126170514330449
47,0,1,success,,,618.0000000000007,544.7136862609567,1.1345409810465725
48,0,1,success,,,582.0,590.5666770145434,0.9854941408854119
49,0,1,success,,,809.9999999999999,681.7917570636946,1.1880460442767244
50,0,1,success,,,714.0000000000005,688.6080162182255,1.0368743656532282
51,1,0,obstacle_collision,,,794.9999999999997,649.060860012372,
52,0,1,success,,,677.9999999999998,628.0931459584638,1.0794577275085189
53,0,1,success,,,663.0000000000005,657.1240369975824,1.0089419389210985
54,0,1,success,,,720.0,672.621736193531,1.0704381991497776
55,0,1,success,,,564.0000000000009,556.1699380585038,1.014078542196708
56,0,1,success,,,792.0,749.7366204207982,1.0563709687216305
57,0,1,success,,,695.9999999999999,655.1496012362368,1.0623527797111993
58,0,1,success,,,602.9999999999992,580.5945228815029,1.0385905760999905
59,1,0,obstacle_collision,,,119.99999999999991,553.5955202130884,
60,0,1,success,,,572.9999999999995,573.846669416143,0.9985245720481312
61,0,1,success,,,618.0000000000007,628.0286617663241,0.9840315221631478
62,1,0,obstacle_collision,,,299.9999999999999,542.3329235810786,
63,0,1,success,,,569.9999999999999,582.526394251797,0.9784964348819144
64,0,1,success,,,725.9999999999997,706.6972477659723,1.0273140334068764
65,0,1,success,,,765.0000000000005,695.449494931156,1.1000079884675587
66,0,1,success,,,698.9999999999998,642.5083657042918,1.0879235778257674
67,0,1,success,,,584.999999999998,591.5445883447841,0.9889364411851037
68,0,1,success,,,627.0000000000001,633.5937184032051,0.9895931442947026
69,0,1,success,,,912.0000000000001,607.8889701253017,1.500273972419689
70,1,0,obstacle_collision,,,450.00000000000017,607.9613474555763,
71,0,1,success,,,1049.9999999999993,683.3688608650529,1.5365054806138532
72,1,0,obstacle_collision,,,836.9999999999993,616.000811687777,
73,0,1,success,,,852.0,754.3076295517632,1.1295126373125632
74,0,1,success,,,657.0000000000006,641.7702080963247,1.023730911331724
75,1,0,obstacle_collision,,,287.99999999999983,603.2056034222494,
76,0,1,success,,,797.9999999999999,630.4228739504937,1.2658170142199914
77,0,1,success,,,717.0,608.434877369797,1.178433430870234
78,1,0,obstacle_collision,,,435.0,611.6616711875937,
79,1,0,obstacle_collision,,,702.0000000000001,747.3647034748162,
80,1,0,obstacle_collision,,,252.00000000000006,629.7563020724763,
81,1,0,obstacle_collision,,,1113.0000000000011,669.3616361877935,
82,1,0,obstacle_collision,,,360.00000000000057,603.0406288136812,
83,0,1,success,,,1107.0,641.1871801588051,1.7264849239902542
84,0,1,success,,,656.9999999999992,642.921457100321,1.021897764873449
85,1,0,obstacle_collision,,,252.0,650.9109002006343,
86,0,1,success,,,680.9999999999999,682.8711445067803,0.9972598864048767
87,0,1,success,,,1013.9999999999999,687.2161232101587,1.475518349690854
88,1,0,obstacle_collision,,,134.99999999999994,608.7405030060017,
89,0,1,success,,,570.0000000000001,583.0420224992363,0.9776310763273444
90,0,1,success,,,579.0000000000013,592.4905062530538,0.9772308482403079
91,0,1,success,,,711.0,645.9450441020505,1.100712833842366
92,0,1,success,,,705.0000000000003,618.1585557120438,1.1404840934182747
93,0,1,success,,,552.0000000000005,556.216684395569,0.9924189897321207
94,0,1,success,,,555.000000000001,577.1594233831759,0.9616060615396672
95,0,1,success,,,680.9999999999995,640.0328116589023,1.064007950209481
96,0,1,success,,,710.9999999999999,671.2749064280595,1.0591785767522919
97,0,1,success,,,636.0,657.9703640742491,0.9666088850290986
98,0,1,success,,,752.9999999999998,688.7996806038749,1.0932060818318616
99,0,1,success,,,648.0000000000006,640.1007733162021,1.0123405985636833
100,0,1,success,,,617.9999999999998,620.3104061677508,0.9962754031775404
