episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,0,1,success,,,591.0000000000008,559.1135841669383,1.0570303007045918
2,1,0,obstacle_collision,,,207.0000000000002,617.7612807549531,
3,0,1,success,,,579.0000000000008,594.024410272844,0.9747074194039564
4,1,0,obstacle_collision,,,654.0000000000002,613.003262634058,
5,1,0,obstacle_collision,,,155.99999999999986,680.4851210717248,
6,1,0,obstacle_collision,,,222.0000000000001,651.818993279576,
7,0,1,success,,,771.0000000000006,772.4066286613547,0.9981789013595185
8,0,1,success,,,581.9999999999994,583.5451996203893,0.997352048099453
9,0,1,success,,,942.0000000000002,612.1601097752123,1.5388131061756156
10,1,0,obstacle_collision,,,189.00000000000006,614.5176970600603,
11,0,1,success,,,572.9999999999992,586.859438025836,0.9763837179266314
12,0,1,success,,,629.9999999999993,612.213198158942,1.0290532806129402
13,0,1,success,,,674.9999999999995,610.5120801425636,1.1056292282412774
14,1,0,obstacle_collision,,,489.00000000000114,573.0706762695156,
15,0,1,success,,,558.0000000000001,536.269521789184,1.0405215611327596
16,0,1,success,,,486.00000000000097,512.0790954530364,0.949072134198403
17,0,1,success,,,696.0000000000006,702.6635041042049,0.990516792084286
18,0,1,success,,,627.0,632.8254103621314,0.9907946010594015
19,1,0,obstacle_collision,,,146.99999999999986,676.7015590347047,
20,0,1,success,,,774.0000000000001,786.5697680434965,0.9840195128847091
21,1,0,obstacle_collision,,,771.0,687.6757957060871,
22,1,0,obstacle_collision,,,917.9999999999999,636.1076952843756,
23,0,1,success,,,573.0000000000019,592.1908476158678,0.9675934748179116
24,1,0,obstacle_collision,,,83.99999999999983,654.3584644520158,
25,1,0,obstacle_collision,,,435.0,587.962583843564,
26,0,1,success,,,663.0000000000002,654.4134778563167,1.0131209433091302
27,0,1,success,,,680.9999999999991,562.9209535982827,1.2097613273176915
28,0,1,success,,,716.9999999999997,689.2445139426211,1.0402694334099396
29,1,0,obstacle_collision,,,590.9999999999997,559.2924101040528,
30,1,0,obstacle_collision,,,227.99999999999986,679.4247566875968,
31,0,1,success,,,698.9999999999999,701.7613554478473,0.9960651075662534
32,0,1,success,,,717.0,648.6801985570394,1.10532123779165
