episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,1,0,obstacle_collision,,,711.0000000000005,716.8019252206288,
2,0,1,success,,,654.0000000000003,617.0153968905477,1.0599411348498542
3,0,1,success,,,779.9999999999999,691.9660396291135,1.1272229492910832
4,0,1,success,,,600.0,612.2123814494444,0.9800520508576926
5,0,1,success,,,657.0000000000001,627.3794704961265,1.0472130997216884
6,0,1,success,,,669.0000000000009,650.0623047062489,1.0291321234236301
7,0,1,success,,,605.9999999999998,572.071673831173,1.0593078240382157
8,1,0,obstacle_collision,,,318.00000000000017,656.1440390645944,
9,1,0,obstacle_collision,,,456.00000000000017,593.0075884843296,
10,0,1,success,,,545.9999999999995,562.4091037669998,0.9708235452500812
11,1,0,obstacle_collision,,,342.00000000000006,720.4783133446836,
12,0,1,success,,,524.9999999999994,531.304997153236,0.9881329985845813
13,0,1,success,,,717.0,674.293704553142,1.063334857137899
14,0,1,success,,,672.0000000000016,668.7189245116366,1.0049065090998601
15,0,1,success,,,678.0,685.8870169350051,0.9885009968985132
16,1,0,obstacle_collision,,,309.0000000000001,609.1182151274086,
17,0,1,success,,,777.0000000000002,762.3417868646583,1.019227875721765
18,1,0,obstacle_collision,,,336.0000000000002,680.0838183635897,
19,0,1,success,,,671.9999999999999,685.598278877653,0.9801658211570864
20,0,1,success,,,528.0000000000006,552.756727684069,0.9552122544255702
21,0,1,success,,,617.9999999999992,635.5415013986104,0.972399125218403
22,0,1,success,,,609.0,628.8561043672869,0.9684250431388198
23,0,1,success,,,645.0000000000001,604.2416735048982,1.0674536833229056
24,0,1,success,,,639.0,618.9547640983144,1.0323856234160944
25,0,1,success,,,723.0,640.0281243820461,1.1296378588020082
26,0,1,success,,,794.9999999999994,745.4528824815154,1.0664657937246793
27,0,1,success,,,578.9999999999989,595.8665958081557,0.9716940068015036
28,0,1,success,,,650.9999999999993,652.015337242921,0.9984427709212869
29,0,1,success,,,609.0000000000005,616.4673551778715,0.9878868603257728
30,0,1,success,,,957.0,590.0177963417714,1.6219849739000958
31,1,0,obstacle_collision,,,773.9999999999994,768.3078809956331,
32,0,1,success,,,710.9999999999993,656.5972890592833,1.0828555217135598
33,0,1,success,,,629.9999999999989,650.0715345252397,0.9691241141024588
34,0,1,success,,,722.9999999999984,677.89748487511,1.0665329435957382
35,0,1,success,,,654.0000000000007,647.6357000660171,1.0098269751549132
36,1,0,obstacle_collision,,,623.9999999999999,638.7879147260066,
37,1,0,obstacle_collision,,,576.0000000000003,647.3831940975916,
38,0,1,success,,,567.0000000000006,578.3459172502214,0.9803821261431814
39,0,1,success,,,561.0000000000014,580.538543078752,0.9663441070163361
40,0,1,success,,,593.9999999999998,602.2599106698037,0.9862851394830221
41,0,1,success,,,711.0000000000002,631.8623267769649,1.1252451204468934
42,1,0,obstacle_collision,,,227.9999999999999,627.3021600472933,
43,0,1,success,,,585.0000000000003,565.0238933000975,1.0353544459566653
44,1,0,obstacle_collision,,,591.0000000000008,611.2421778640606,
45,0,1,success,,,713.9999999999994,729.2852665452663,0.9790407577851182
46,0,1,success,,,647.9999999999999,611.9256490783828,1.0589521798537918
47,0,1,success,,,684.0000000000005,702.9573244514919,0.9730320407909775
48,0,1,success,,,611.9999999999995,628.4775254533769,0.9737818381946266
49,0,1,success,,,639.0,617.571048544214,1.0346987630108309
50,0,1,success,,,629.9999999999999,623.5006014431742,1.0104240453686524
51,0,1,success,,,588.0,602.2441365426483,0.9763482354109402
52,1,0,obstacle_collision,,,213.00000000000017,606.8451202736989,
53,0,1,success,,,489.00000000000085,515.8798309684146,0.9478951698538889
54,0,1,success,,,810.0000000000011,737.3092973779728,1.0985891577395426
55,0,1,success,,,777.0000000000002,754.6350111146447,1.0296368291372022
56,0,1,success,,,552.0,559.0295162153784,0.9874255007804094
57,1,0,obstacle_collision,,,273.0,566.0291511927633,
58,0,1,success,,,669.0000000000005,689.2641003272984,0.9706003833397453
59,0,1,success,,,573.0000000000008,566.4141594275341,1.0116272527140264
60,1,0,obstacle_collision,,,513.0000000000001,632.483991892285,
61,0,1,success,,,633.0000000000009,646.406992536436,0.979259208685495
62,0,1,success,,,614.9999999999995,633.7105017277211,0.9704746857173583
63,1,0,obstacle_collision,,,263.99999999999983,677.4105106949552,
64,0,1,success,,,561.000000000001,533.7883475685845,1.0509783560382426
65,0,1,success,,,584.9999999999999,595.8665958081557,0.981763374747635
66,0,1,success,,,533.9999999999989,557.6782226338051,0.9575414250139109
67,0,1,success,,,639.0000000000001,606.1922137408233,1.054121094787278
68,0,1,success,,,659.9999999999976,610.1294944517925,1.0817375753863763
69,1,0,obstacle_collision,,,315.0,712.4163108744774,
70,0,1,success,,,735.0000000000002,724.5170805439993,1.0144688368811539
71,1,0,boundary_collision,,,39.000000000000014,721.4014139159973,
72,0,1,success,,,617.9999999999998,613.4394835678577,1.007434337949063
73,0,1,success,,,608.9999999999997,610.0917963716607,0.9982104391861123
74,0,1,success,,,717.0000000000001,732.1051836997195,0.9793674679048373
75,1,0,obstacle_collision,,,150.00000000000006,608.949915838733,
76,1,0,obstacle_collision,,,782.9999999999999,587.6818867380549,
77,1,0,obstacle_collision,,,362.99999999999994,620.732631653919,
78,0,1,success,,,591.0000000000003,585.0846092660445,1.0101103167649144
79,0,1,success,,,621.0000000000006,639.6764807306894,0.9708032399294171
80,0,1,success,,,539.9999999999999,558.2803955003257,0.9672558885326019
81,0,1,success,,,792.0,683.1405419092033,1.1593514824732292
82,1,0,obstacle_collision,,,360.00000000000006,597.9272531002413,
83,0,1,success,,,587.9999999999993,611.9321857853205,0.9608907876701928
84,1,0,obstacle_collision,,,614.9999999999997,617.4479735167976,
85,0,1,success,,,647.999999999999,624.1482195760875,1.0382149298448873
86,1,0,obstacle_collision,,,342.0000000000001,599.4263924786762,
87,0,1,success,,,717.0,658.7268022480944,1.0884633774624497
88,0,1,success,,,714.0000000000002,677.786101952526,1.053429685181138
89,0,1,success,,,633.0000000000005,615.7661893933443,1.027987588314381
90,1,0,obstacle_collision,,,336.0,712.5124560314717,
