step,train_loss,avg_return,early_collision_rate,episode_count,converged,convergence_step,convergence_return
2000,0.002874812,89.58173,0.9875,80,0,,
4000,1.5129362,92.19023,0.99,100,0,,
6000,0.0023535131,116.853645,0.9913793103448276,116,0,,
8000,1.4264476,100.04294,0.984375,128,0,,
10000,1.3669139,107.97869,0.9858156028368794,141,0,,
12000,0.6987847,107.722206,0.9806451612903225,155,1,10000,101.32944793701172
14000,0.62215865,102.02155,0.9651162790697675,172,1,10000,101.32944793701172
16000,0.5938034,71.58545,0.9505494505494505,182,1,10000,101.32944793701172
18000,0.055028588,86.22802,0.9494949494949495,198,1,10000,101.32944793701172
20000,1.5630313,34.874516,0.9398148148148148,216,1,10000,101.32944793701172
22000,0.8772562,31.644875,0.9347826086956522,230,1,10000,101.32944793701172
24000,0.57346946,16.750954,0.936,250,1,10000,101.32944793701172
26000,0.026866145,-16.074476,0.9372693726937269,271,1,10000,101.32944793701172
28000,0.82042885,-14.419507,0.9377162629757786,289,1,10000,101.32944793701172
30000,0.07859756,31.746183,0.9419354838709677,310,1,10000,101.32944793701172
32000,1.5543889,8.451346,0.9361702127659575,329,1,10000,101.32944793701172
34000,0.2976038,16.665272,0.9367816091954023,348,1,10000,101.32944793701172
36000,0.31735614,37.747967,0.9376693766937669,369,1,10000,101.32944793701172
38000,0.0765325,37.46407,0.9319371727748691,382,1,10000,101.32944793701172
40000,0.32864153,70.131004,0.93,400,1,10000,101.32944793701172
42000,0.054680727,91.24873,0.930952380952381,420,1,10000,101.32944793701172
44000,1.2300658,73.26774,0.9220183486238532,436,1,10000,101.32944793701172
46000,0.07627745,58.29038,0.9162995594713657,454,1,10000,101.32944793701172
48000,0.54655516,49.9994,0.9118279569892473,465,1,10000,101.32944793701172
50000,0.26230863,73.32134,0.9083333333333333,480,1,10000,101.32944793701172
52000,1.8676252,64.064415,0.9066937119675457,493,1,10000,101.32944793701172
54000,1.0427529,42.459743,0.904,510,1,10000,101.32944793701172
56000,0.5658343,60.489704,0.904,525,1,10000,101.32944793701172
58000,0.2089292,61.707478,0.904,540,1,10000,101.32944793701172
60000,1.7856784,71.98182,0.904,554,1,10000,101.32944793701172
62000,0.53392386,73.9665,0.904,566,1,10000,101.32944793701172
64000,0.24400294,107.86609,0.904,584,1,10000,101.32944793701172
66000,0.16085099,68.30486,0.904,594,1,10000,101.32944793701172
68000,1.7155477,86.83835,0.904,606,1,10000,101.32944793701172
70000,1.2805496,127.57976,0.904,618,1,10000,101.32944793701172
72000,0.16141802,97.64784,0.904,639,1,10000,101.32944793701172
74000,0.6468225,96.82792,0.904,650,1,10000,101.32944793701172
76000,0.08630769,53.84834,0.904,661,1,10000,101.32944793701172
78000,0.2793488,56.42281,0.904,675,1,10000,101.32944793701172
80000,0.163483,79.64319,0.904,688,1,10000,101.32944793701172
82000,0.20251778,71.29438,0.904,703,1,10000,101.32944793701172
84000,1.376772,70.07243,0.904,716,1,10000,101.32944793701172
86000,0.5414982,71.600784,0.904,729,1,10000,101.32944793701172
88000,0.16854724,112.011086,0.904,739,1,10000,101.32944793701172
90000,0.07721553,51.962177,0.904,750,1,10000,101.32944793701172
92000,0.1590384,64.76594,0.904,767,1,10000,101.32944793701172
94000,0.07753081,65.42601,0.904,784,1,10000,101.32944793701172
96000,0.06805792,100.553314,0.904,799,1,10000,101.32944793701172
98000,0.22557968,109.33006,0.904,809,1,10000,101.32944793701172
100000,0.15728633,95.995926,0.904,821,1,10000,101.32944793701172
102000,0.067719445,108.99612,0.904,834,1,10000,101.32944793701172
104000,1.5058302,64.73512,0.904,850,1,10000,101.32944793701172
106000,0.21959192,98.286995,0.904,861,1,10000,101.32944793701172
108000,2.0493922,51.03757,0.904,875,1,10000,101.32944793701172
110000,0.23309545,74.07767,0.904,889,1,10000,101.32944793701172
112000,0.33379954,123.79899,0.904,899,1,10000,101.32944793701172
114000,0.5530501,62.174694,0.904,913,1,10000,101.32944793701172
116000,0.040602274,100.528206,0.904,923,1,10000,101.32944793701172
118000,1.0560945,99.41456,0.904,931,1,10000,101.32944793701172
120000,2.3937445,118.50114,0.904,941,1,10000,101.32944793701172
122000,0.2740996,96.26566,0.904,955,1,10000,101.32944793701172
124000,0.61078876,112.44234,0.904,963,1,10000,101.32944793701172
126000,0.060767647,79.55389,0.904,976,1,10000,101.32944793701172
128000,1.363292,104.51625,0.904,990,1,10000,101.32944793701172
130000,1.0510947,113.94119,0.904,999,1,10000,101.32944793701172
132000,1.1293657,101.853546,0.904,1011,1,10000,101.32944793701172
134000,1.9803798,81.177246,0.904,1021,1,10000,101.32944793701172
136000,1.081731,94.4165,0.904,1030,1,10000,101.32944793701172
138000,0.42676,79.48927,0.904,1040,1,10000,101.32944793701172
140000,0.42517206,69.38343,0.904,1051,1,10000,101.32944793701172
142000,0.31354815,73.57609,0.904,1061,1,10000,101.32944793701172
144000,0.2995587,77.56176,0.904,1072,1,10000,101.32944793701172
146000,0.2987693,75.926,0.904,1082,1,10000,101.32944793701172
148000,1.6333122,92.03498,0.904,1093,1,10000,101.32944793701172
150000,0.15971024,104.18823,0.904,1103,1,10000,101.32944793701172
152000,0.10653302,92.45958,0.904,1115,1,10000,101.32944793701172
154000,0.12376575,87.84732,0.904,1126,1,10000,101.32944793701172
156000,0.2019066,54.452843,0.904,1136,1,10000,101.32944793701172
158000,0.29734775,102.69782,0.904,1147,1,10000,101.32944793701172
160000,1.1362404,109.261,0.904,1159,1,10000,101.32944793701172
162000,0.39119872,87.42632,0.904,1169,1,10000,101.32944793701172
164000,0.15455972,87.34152,0.904,1182,1,10000,101.32944793701172
166000,1.0093741,71.28524,0.904,1194,1,10000,101.32944793701172
168000,0.6490698,51.766895,0.904,1203,1,10000,101.32944793701172
170000,1.535722,106.47449,0.904,1214,1,10000,101.32944793701172
172000,0.45702064,100.25204,0.904,1223,1,10000,101.32944793701172
174000,1.8529346,87.88811,0.904,1233,1,10000,101.32944793701172
176000,0.062448453,78.47552,0.904,1242,1,10000,101.32944793701172
178000,0.1627437,92.60601,0.904,1251,1,10000,101.32944793701172
180000,0.05381973,90.99332,0.904,1264,1,10000,101.32944793701172
182000,0.7124993,97.81353,0.904,1273,1,10000,101.32944793701172
184000,1.460648,109.787285,0.904,1282,1,10000,101.32944793701172
186000,0.8843661,114.66659,0.904,1292,1,10000,101.32944793701172
188000,1.3960034,102.18884,0.904,1303,1,10000,101.32944793701172
190000,0.10168919,105.34774,0.904,1311,1,10000,101.32944793701172
192000,0.104688644,109.23037,0.904,1322,1,10000,101.32944793701172
