episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,0,1,success,,,714.0000000000005,691.6538151416502,1.0323083374502515
2,0,1,success,,,609.0000000000002,604.9206559541508,1.0067436018355416
3,0,1,success,,,780.0000000000002,653.4072237127472,1.1937425417000076
4,0,1,success,,,641.9999999999992,655.1312845529512,0.9799562547804254
5,0,1,success,,,549.0,561.1211990292294,0.9783982514825679
6,0,1,success,,,726.0000000000001,680.5776957849853,1.0667408063713053
7,0,1,success,,,530.9999999999977,542.0719509437838,0.9795747576968167
8,0,1,success,,,705.0000000000014,690.0550702661346,1.0216575899197478
9,1,0,obstacle_collision,,,492.00000000000057,625.8258543716455,
10,1,0,boundary_collision,,,72.0,595.3226016203315,
11,0,1,success,,,579.0000000000019,576.0112846116818,1.0051886403411956
12,0,1,success,,,654.0,618.876401230488,1.0567538182093825
13,1,0,obstacle_collision,,,192.0,672.5607779227093,
14,0,1,success,,,683.9999999999999,642.6756569219033,1.064300464212414
15,1,0,obstacle_collision,,,522.0000000000007,578.9991364414976,
16,0,1,success,,,638.9999999999999,631.6723834393902,1.0116003433943266
17,1,0,obstacle_collision,,,419.99999999999983,560.5943274775441,
18,0,1,success,,,528.0000000000007,534.9813080846844,0.9869503700798857
19,0,1,success,,,710.9999999999999,653.1293899373998,1.0886051232025356
20,0,1,success,,,680.9999999999998,664.2808141140312,1.0251688525857359
21,0,1,success,,,725.9999999999999,719.4004448149861,1.0091736879405335
22,0,1,success,,,768.0,739.173186743134,1.0389987269206553
23,0,1,success,,,615.0000000000008,622.384125761575,0.9881357421310535
24,0,1,success,,,584.9999999999999,597.1013314337861,0.9797332030650008
25,0,1,success,,,627.0000000000006,623.5543280260349,1.0055258568806242
26,1,0,boundary_collision,,,593.9999999999995,525.4217353707401,
27,1,0,boundary_collision,,,387.0,586.2985587565435,
28,1,0,boundary_collision,,,173.99999999999972,695.9770111145914,
29,1,0,boundary_collision,,,825.0000000000001,584.6366392897387,
30,1,0,boundary_collision,,,197.99999999999994,667.720001198107,
31,0,1,success,,,699.0000000000006,706.563514484013,0.989295350907645
32,1,0,boundary_collision,,,749.9999999999994,607.3787944931894,
33,0,1,success,,,791.9999999999999,659.8257345693634,1.2003169299192313
34,1,0,obstacle_collision,,,1895.9999999999998,598.4287760460721,
35,1,0,obstacle_collision,,,362.99999999999994,681.851156778369,
36,0,1,success,,,633.0000000000007,617.0226900203913,1.0258942016850001
37,1,0,boundary_collision,,,827.9999999999993,684.0065789157294,
38,1,0,obstacle_collision,,,276.0,628.0931459584638,
39,1,0,obstacle_collision,,,1169.9999999999998,613.1427240047785,
40,0,1,success,,,597.0000000000001,580.8037534313978,1.0278859192505465
41,1,0,obstacle_collision,,,1404.0,544.063415421401,
42,1,0,boundary_collision,,,96.00000000000038,718.4156178703245,
43,0,1,success,,,657.0000000000003,619.5328885539492,1.0604763881599621
44,0,1,success,,,2112.0000000000005,552.8806381127847,3.8199926971744733
45,0,1,success,,,644.9999999999994,654.8014966384851,0.985031346616031
46,0,1,success,,,723.0000000000001,610.2335618433323,1.1847922585838024
47,0,1,success,,,678.0000000000002,698.1812085698097,0.9710945979036737
48,0,1,success,,,1185.0000000000014,666.2687145589233,1.7785616735501133
49,0,1,success,,,821.9999999999999,774.5514831178106,1.0612593454617043
50,0,1,success,,,567.0000000000001,591.358605247273,0.9588090795819443
51,1,0,obstacle_collision,,,476.99999999999966,637.778958574207,
52,0,1,success,,,747.0,662.8763082204704,1.1269070726111248
53,0,1,success,,,500.99999999999955,525.5244999046191,0.9533332891062726
54,0,1,success,,,711.0000000000005,658.4299507160955,1.0798415218304251
55,0,1,success,,,767.9999999999986,688.0029069706028,1.1162743532314958
56,1,0,boundary_collision,,,159.00000000000037,651.5519933205638,
57,0,1,success,,,579.0000000000007,549.0910671282132,1.0544698951818927
58,0,1,success,,,777.0000000000002,659.5786533841131,1.1780247829632313
59,0,1,success,,,810.0000000000003,744.6401815642237,1.0877736926557993
60,0,1,success,,,554.9999999999997,567.609020365251,0.9777857294143466
61,0,1,success,,,693.0000000000002,664.0820732409511,1.043545712080315
62,0,1,success,,,600.0000000000014,584.9452965876382,1.0257369424118579
63,1,0,obstacle_collision,,,287.99999999999983,657.1042535245073,
64,1,0,obstacle_collision,,,231.00000000000009,600.1416499460773,
65,0,1,success,,,701.9999999999999,539.5229374178637,1.3011494995184918
66,0,1,success,,,642.0000000000002,663.8328102768046,0.9671109804474706
67,0,1,success,,,666.0,650.2499519415592,1.02422152898499
68,0,1,success,,,780.0000000000005,684.4589103810396,1.139586304115426
69,0,1,success,,,861.0000000000009,682.2814668448792,1.2619425293516795
70,1,0,boundary_collision,,,93.00000000000011,688.1111828767209,
71,0,1,success,,,612.0000000000003,581.2434945872512,1.052915010144913
72,1,0,obstacle_collision,,,293.9999999999998,675.0770326414608,
73,0,1,success,,,660.0000000000013,666.1246129666731,0.9908056047660586
74,1,0,boundary_collision,,,54.000000000000014,620.136275345992,
