step,train_loss,avg_return,early_collision_rate,episode_count,converged,convergence_step,convergence_return
2000,0.0012301818933337927,94.77468,0.3783783783783784,37,0,,
4000,0.0012006490724161267,88.24429,0.37777777777777777,45,0,,
6000,1.5210365056991577,104.27064,0.39655172413793105,58,0,,
8000,0.0027754155453294516,103.60929,0.391304347826087,69,0,,
10000,0.012801717966794968,102.82169,0.42168674698795183,83,0,,
12000,0.0028252811171114445,106.047775,0.40860215053763443,93,1,10000,98.7441192626953
14000,1.4625334739685059,106.339615,0.42857142857142855,105,1,10000,98.7441192626953
16000,0.022921279072761536,92.43221,0.40869565217391307,115,1,10000,98.7441192626953
18000,0.8418779373168945,118.194565,0.40476190476190477,126,1,10000,98.7441192626953
20000,1.4545111656188965,101.347916,0.3897058823529412,136,1,10000,98.7441192626953
22000,1.4260374307632446,88.55191,0.40268456375838924,149,1,10000,98.7441192626953
24000,0.003979658242315054,110.919235,0.39622641509433965,159,1,10000,98.7441192626953
26000,0.006183457560837269,94.13109,0.4,170,1,10000,98.7441192626953
28000,0.008991307578980923,108.3329,0.4065934065934066,182,1,10000,98.7441192626953
30000,0.011903423815965652,82.21754,0.4020618556701031,194,1,10000,98.7441192626953
32000,0.009333441033959389,96.26438,0.4057971014492754,207,1,10000,98.7441192626953
34000,0.022000540047883987,65.30661,0.39069767441860465,215,1,10000,98.7441192626953
36000,0.0059352763928473,102.455574,0.3920704845814978,227,1,10000,98.7441192626953
38000,0.012331930920481682,97.91678,0.4024896265560166,241,1,10000,98.7441192626953
40000,0.04877564311027527,89.84863,0.40476190476190477,252,1,10000,98.7441192626953
42000,0.0066391900181770325,84.86535,0.3969465648854962,262,1,10000,98.7441192626953
44000,0.016487475484609604,109.29479,0.3956043956043956,273,1,10000,98.7441192626953
46000,0.06485069543123245,81.13925,0.38515901060070673,283,1,10000,98.7441192626953
48000,1.3972967863082886,103.38647,0.3864406779661017,295,1,10000,98.7441192626953
50000,0.06015576794743538,128.04358,0.3941368078175896,307,1,10000,98.7441192626953
52000,0.010850130580365658,79.379326,0.3860759493670886,316,1,10000,98.7441192626953
54000,1.4124364852905273,108.20003,0.3803680981595092,326,1,10000,98.7441192626953
56000,0.04667840898036957,121.692116,0.378698224852071,338,1,10000,98.7441192626953
58000,0.004659721627831459,72.32467,0.38285714285714284,350,1,10000,98.7441192626953
60000,1.419906497001648,125.00493,0.38055555555555554,360,1,10000,98.7441192626953
62000,0.027837596833705902,81.061226,0.38005390835579517,371,1,10000,98.7441192626953
64000,0.011017843149602413,56.976692,0.3785900783289817,383,1,10000,98.7441192626953
66000,0.06748393177986145,89.87397,0.37404580152671757,393,1,10000,98.7441192626953
68000,1.3834521770477295,77.25986,0.3787128712871287,404,1,10000,98.7441192626953
70000,0.019533630460500717,109.54799,0.3737864077669903,412,1,10000,98.7441192626953
72000,0.011464409530162811,60.64059,0.37203791469194314,422,1,10000,98.7441192626953
74000,0.08155946433544159,78.883255,0.3680555555555556,432,1,10000,98.7441192626953
76000,0.009103207848966122,86.80955,0.3656884875846501,443,1,10000,98.7441192626953
78000,0.012294875457882881,67.91798,0.36784140969163,454,1,10000,98.7441192626953
80000,0.03907901793718338,92.97297,0.3669527896995708,466,1,10000,98.7441192626953
82000,0.01027430035173893,109.46151,0.3697478991596639,476,1,10000,98.7441192626953
84000,0.2712056636810303,96.161446,0.3721881390593047,489,1,10000,98.7441192626953
86000,0.03259934484958649,95.75087,0.3727454909819639,499,1,10000,98.7441192626953
88000,0.02527703531086445,98.51293,0.372,510,1,10000,98.7441192626953
90000,0.47014081478118896,103.84627,0.372,521,1,10000,98.7441192626953
92000,4.145864963531494,85.88074,0.372,532,1,10000,98.7441192626953
