episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,0,1,success,,,581.999999999999,558.4523256286072,1.042165952742494
2,1,0,obstacle_collision,,,504.0,572.1057594536171,
3,1,0,obstacle_collision,,,245.9999999999999,549.9972727205109,
4,1,0,boundary_collision,,,60.000000000000014,675.4731674907598,
5,0,1,success,,,801.000000000001,709.4004510852809,1.1291224847328274
6,1,0,obstacle_collision,,,215.99999999999986,628.7924935938723,
7,0,1,success,,,711.0,658.4109658868084,1.0798726583211746
8,1,0,obstacle_collision,,,443.99999999999994,662.2386276864254,
9,0,1,success,,,672.0000000000002,636.303386758235,1.0560999893834107
10,0,1,success,,,620.9999999999999,632.7242685404125,0.9814701772583206
11,0,1,success,,,633.0000000000002,602.2889671909987,1.0509905286032948
12,1,0,obstacle_collision,,,224.99999999999957,651.5957335649152,
13,0,1,success,,,599.9999999999995,580.9044671888829,1.0328720708648083
14,1,0,obstacle_collision,,,224.99999999999997,598.2006352387132,
15,0,1,success,,,609.0000000000002,628.6763873408958,0.9687018826583889
16,0,1,success,,,584.9999999999991,589.1027075137238,0.993035666851643
17,1,0,obstacle_collision,,,308.9999999999996,598.4822470215804,
18,0,1,success,,,606.0000000000007,621.3050780413757,0.9753662434409464
19,0,1,success,,,536.9999999999977,541.7047166122887,0.991314979419575
20,0,1,success,,,605.9999999999994,597.2746436941719,1.0146086166522335
21,0,1,success,,,968.9999999999993,715.5263796674445,1.354247764352674
22,0,1,success,,,723.0000000000005,659.9787875379026,1.0954897545983302
23,0,1,success,,,672.0000000000003,677.9387877972465,0.9912399350735743
24,1,0,boundary_collision,,,69.00000000000027,741.9521547916685,
25,0,1,success,,,564.000000000002,580.3214626394581,0.9718751352651656
26,0,1,success,,,644.9999999999999,626.5117716372135,1.0295097860882527
27,0,1,success,,,728.9999999999999,700.1606958406048,1.0411895502428494
28,0,1,success,,,621.0000000000005,631.2471782115149,0.983766773832483
29,0,1,success,,,635.9999999999997,655.7812135156054,0.9698356508117093
30,0,1,success,,,750.0000000000001,688.809117245119,1.0888357619301166
31,1,0,boundary_collision,,,965.9999999999997,600.1708090202321,
32,0,1,success,,,870.0,793.8847523412954,1.0958769486808109
33,0,1,success,,,623.9999999999992,631.605098142819,0.9879590931656791
34,0,1,success,,,581.9999999999989,572.3678886869877,1.0168285319693724
35,1,0,obstacle_collision,,,752.9999999999999,728.8895663953491,
36,0,1,success,,,567.0000000000005,582.6190865393959,0.9731915982496064
37,1,0,obstacle_collision,,,104.99999999999999,688.8867831509035,
38,0,1,success,,,1035.0,684.2287629148602,1.5126519902361761
39,1,0,obstacle_collision,,,495.00000000000017,679.0890957746266,
40,1,0,boundary_collision,,,780.0000000000001,680.1154313791152,
41,1,0,obstacle_collision,,,276.0000000000004,692.1538846239324,
42,0,1,success,,,686.9999999999999,620.2781634073539,1.1075676051952645
43,0,1,success,,,705.0000000000001,666.8770501374297,1.0571663845002823
44,0,1,success,,,590.9999999999997,586.6216838815285,1.0074636111121924
45,0,1,success,,,507.0000000000035,531.0837975310487,0.9546516055601617
