step,train_loss,avg_return,early_collision_rate,episode_count,converged,convergence_step,convergence_return
2000,0.7618539,78.22678,0.9863013698630136,73,0,,
4000,0.0019211399,79.51692,0.989247311827957,93,0,,
6000,0.0045041204,75.13116,0.9910714285714286,112,0,,
8000,0.008144881,83.15009,0.9844961240310077,129,0,,
10000,0.66790676,122.048615,0.9735099337748344,151,0,,
12000,0.626153,98.65561,0.975609756097561,164,1,10000,87.61471405029297
14000,0.01568273,89.27284,0.9722222222222222,180,1,10000,87.61471405029297
16000,1.3408647,88.83363,0.9693877551020408,196,1,10000,87.61471405029297
18000,0.023861865,63.77466,0.9671361502347418,213,1,10000,87.61471405029297
20000,0.043386247,76.89632,0.9613733905579399,233,1,10000,87.61471405029297
22000,0.75965846,69.43288,0.9595141700404858,247,1,10000,87.61471405029297
24000,0.8531655,50.740128,0.9501915708812261,261,1,10000,87.61471405029297
26000,0.07507072,46.187492,0.9464285714285714,280,1,10000,87.61471405029297
28000,0.81257355,47.26587,0.9393939393939394,297,1,10000,87.61471405029297
30000,0.5106174,47.86639,0.9396825396825397,315,1,10000,87.61471405029297
32000,0.022011824,85.32045,0.9386503067484663,326,1,10000,87.61471405029297
34000,0.7700804,36.66251,0.936046511627907,344,1,10000,87.61471405029297
36000,0.6985586,61.515152,0.9241573033707865,356,1,10000,87.61471405029297
38000,0.07454446,108.5748,0.9135135135135135,370,1,10000,87.61471405029297
40000,0.05532397,70.803116,0.9064935064935065,385,1,10000,87.61471405029297
42000,0.82174003,79.4364,0.9029850746268657,402,1,10000,87.61471405029297
44000,0.07797984,59.873898,0.8949880668257757,419,1,10000,87.61471405029297
46000,0.44635892,78.55257,0.8912037037037037,432,1,10000,87.61471405029297
48000,0.18609588,68.345406,0.8859060402684564,447,1,10000,87.61471405029297
50000,0.35317138,64.29853,0.8820960698689956,458,1,10000,87.61471405029297
52000,0.18250136,95.80291,0.8752642706131079,473,1,10000,87.61471405029297
54000,0.13036655,72.815155,0.871900826446281,484,1,10000,87.61471405029297
56000,0.8132381,53.673946,0.869215291750503,497,1,10000,87.61471405029297
58000,0.27486473,91.767715,0.866,512,1,10000,87.61471405029297
60000,0.15924379,61.94055,0.866,523,1,10000,87.61471405029297
62000,0.06859397,72.44632,0.866,536,1,10000,87.61471405029297
64000,0.14794786,54.639256,0.866,552,1,10000,87.61471405029297
